estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
24068,1,1,15,15,15,15,6,3,1,5,0
48848,21,21,8,8,168,112,28,42,28,14,0
24239,1,1,33,33,33,33,6,17,8,2,0
24130,1,1,10,10,10,10,3,4,3,0,0
24342,1,1,12,12,12,12,5,4,3,0,0
20923,1,1,1,1,1,1,0,0,0,0,1
29362,462,307,13,13,3991,1251,53,376,521,77,224
24341,1,1,11,11,11,11,4,4,3,0,0
20962,1,1,1,1,1,1,0,0,0,0,1
49663,7,7,13,13,91,91,28,14,35,14,0
24074,1,1,17,17,17,17,3,4,6,4,0
24281,1,1,12,12,12,12,5,4,3,0,0
27434,378,252,14,14,3528,1109,108,132,249,370,250
24351,1,1,11,11,11,11,4,4,3,0,0
24239,1,1,14,14,14,14,8,3,3,0,0
24282,1,1,12,12,12,12,5,4,3,0,0
20923,1,1,1,1,1,1,0,0,0,0,1
20962,1,1,1,1,1,1,0,0,0,0,1
24438,1,1,12,12,12,12,5,4,3,0,0
24064,1,1,21,21,21,21,7,4,6,4,0
20923,1,1,1,1,1,1,0,0,0,0,1
19107,3,3,15,15,45,22,2,8,0,9,3
24312,1,1,12,12,12,12,5,4,3,0,0
0,7,7,12,12,84,0,0,0,0,0,0
20923,1,1,1,1,1,1,0,0,0,0,1
20962,1,1,1,1,1,1,0,0,0,0,1
24384,1,1,9,9,9,9,2,4,3,0,0
24283,1,1,11,11,11,11,4,4,3,0,0
20923,1,1,1,1,1,1,0,0,0,0,1
551,1,1,1,1,1,1,0,0,0,0,1
24332,1,1,12,12,12,12,6,3,3,0,0
24290,1,1,10,10,10,10,3,4,3,0,0
2386,7,7,18,18,126,49,21,21,0,7,0
24540,1,1,12,12,12,12,5,4,3,0,0
24280,1,1,8,8,8,8,1,4,3,0,0
24132,1,1,18,18,18,18,4,4,6,4,0
24311,1,1,11,11,11,11,4,4,3,0,0
24299,1,1,11,11,11,11,4,4,3,0,0
49290,7,7,13,13,91,91,7,35,35,14,0
24377,1,1,13,13,13,13,7,3,3,0,0
24203,1,1,8,8,8,8,1,4,3,0,0
24062,1,1,38,38,38,36,3,9,15,8,1
24134,1,1,21,21,21,21,4,8,7,2,0
0,21,21,18,18,378,0,0,0,0,0,0
