estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
52653,1,1,14319,2476,2476,2476,20,1567,825,64,0
82282,1,1,5401,193,193,193,150,35,3,5,0
20689,1,1,7656,661,661,661,529,126,5,1,0
48204,1,1,937,932,932,932,668,254,6,4,0
54214,1,1,94416,2449,2449,2449,379,1400,602,68,0
104707,1,1,5401,108,108,108,60,28,15,5,0
81796,1,1,7752,903,903,903,601,254,45,3,0
52239,1,1,14123,2219,2219,2219,24,1502,625,68,0
83010,1,1,7752,873,873,873,619,202,49,3,0
51774,1,1,4896,791,791,791,515,235,40,1,0
122594,1,1,20255,4387,4387,4387,1767,2272,348,0,0
74155,1,1,18744,2090,2090,2090,454,1619,2,15,0
147699,1,1,4896,687,687,687,422,194,63,8,0
87820,1,1,5497,89,89,89,60,14,12,3,0
47083,1,1,730,727,727,727,670,24,29,4,0
123948,1,1,19734,3567,3567,3567,1349,2191,10,17,0
91481,1,1,5497,110,110,110,60,35,12,3,0
47168,1,1,730,727,727,727,670,24,29,4,0
